# packages in environment at /var/tmp/gt3:
#
# Name                              Version          Build                 Channel
_openmp_mutex                       4.5              20_gnu                conda-forge
_x86_64-microarch-level             4                3_skylake_avx512      conda-forge
at-spi2-atk                         2.38.0           h0630a04_3            conda-forge
at-spi2-core                        2.40.3           h0630a04_0            conda-forge
atk-1.0                             2.38.0           h04ea711_2            conda-forge
aws-c-auth                          0.10.4           hb7a77c6_1            conda-forge
aws-c-cal                           0.9.14           h2aa3ae6_4            conda-forge
aws-c-common                        0.14.2           hb03c661_0            conda-forge
aws-c-compression                   0.3.2            h720e601_4            conda-forge
aws-c-event-stream                  0.7.1            h6ffeea8_4            conda-forge
aws-c-http                          0.11.0           h38ae05a_4            conda-forge
aws-c-io                            0.27.3           h6f4d18d_1            conda-forge
aws-c-mqtt                          0.16.0           h21f4ec5_2            conda-forge
aws-c-s3                            0.12.8           h46fcd08_1            conda-forge
aws-c-sdkutils                      0.2.7            h720e601_2            conda-forge
aws-checksums                       0.2.10           h720e601_4            conda-forge
aws-crt-cpp                         0.40.1           h102d43b_3            conda-forge
aws-sdk-cpp                         1.11.833         hc7390e0_9            conda-forge
azure-core-cpp                      1.16.3           h206d751_0            conda-forge
azure-identity-cpp                  1.13.3           h71f81a8_2            conda-forge
azure-storage-blobs-cpp             12.18.0          h74b55db_1            conda-forge
azure-storage-common-cpp            12.14.0          hf596fc9_1            conda-forge
azure-storage-files-datalake-cpp    12.16.0          h1f05bef_1            conda-forge
brotli                              1.2.0            hed03a55_1            conda-forge
brotli-bin                          1.2.0            hb03c661_1            conda-forge
bzip2                               1.0.8            hda65f42_9            conda-forge
c-ares                              1.34.8           hb03c661_0            conda-forge
ca-certificates                     2026.6.17        hbd8a1cb_0            conda-forge
cairo                               1.18.4           he90730b_1            conda-forge
cairomm                             1.16.2           ha770c72_1            conda-forge
cairomm-1.16                        1.16.2           h7e731d7_1            conda-forge
cffi                                2.1.0            py314h4a8dc5f_0       conda-forge
contourpy                           1.3.3            py314h97ea11e_4       conda-forge
cycler                              0.12.1           pyhcf101f3_2          conda-forge
dbus                                1.16.2           h24cb091_1            conda-forge
epoxy                               1.5.10           hb03c661_2            conda-forge
expat                               2.8.1            hecca717_1            conda-forge
font-ttf-dejavu-sans-mono           2.37             hab24e00_0            conda-forge
font-ttf-inconsolata                3.000            h77eed37_0            conda-forge
font-ttf-source-code-pro            2.038            h77eed37_0            conda-forge
font-ttf-ubuntu                     0.83             h77eed37_3            conda-forge
fontconfig                          2.18.1           h27c8c51_0            conda-forge
fonts-conda-ecosystem               1                0                     conda-forge
fonts-conda-forge                   1                hc364b38_1            conda-forge
fonttools                           4.63.0           pyh7db6752_0          conda-forge
freetype                            2.14.3           ha770c72_0            conda-forge
fribidi                             1.0.16           hb03c661_0            conda-forge
gdk-pixbuf                          2.44.7           h2b0a6b4_0            conda-forge
gflags                              2.3.0            h54a6638_0            conda-forge
glib-tools                          2.88.2           h8094192_0            conda-forge
glog                                0.7.1            hb7133d2_1            conda-forge
